name,x,y
Eugies,-32.5078148999,50.4133658038
Eupen,117.8545605448,23.9406010649
Evegnée,95.0272507912,22.7021986789
Evelette,57.5143277481,47.8917513434
Everbeek,-39.6905197982,8.6564784936
Everberg,14.2356771009,-2.9014432671
Evere,3.5405867282,-2.6559286469
Evergem,-45.1729801004,-29.2217776714
Evregnies,-74.6628221444,14.8140408331
Evrehailles,39.3517574268,58.1540358599
Eynatten,121.3798379779,16.9705086186
Ezemaal,45.2990104792,7.7652218773
Fagnolle,15.3428254748,81.7544504131
Faimes,63.891049109,20.1084831487
Falaen,30.98764118,62.774141055
Falisolle,18.9129432861,47.377724338
Fallais,57.6826878979,26.2965655124
Falmagne,38.2692106441,71.3203152346
Falmignoul,37.9392890186,70.9393529639
Familleureux,-10.6673449143,35.5347528196
Farciennes,14.1266486115,46.3781092637
